City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
3,hobyo,SO,80.83,5.3505,48.5268,broken clouds,Iftin hotel hobyo
8,caucaia,BR,79.03,-3.7361,-38.6531,few clouds,M.O.S. Logística - Filial Fortaleza
10,muros,ES,78.67,42.7762,-9.0603,few clouds,Apartment Av. Castelao
12,shakhtinsk,KZ,77.58,49.71,72.5872,overcast clouds,Orifleym
23,nago,JP,84.63,26.5881,127.9761,overcast clouds,Hotel Yugaf Inn Okinawa
29,kapaa,US,79.12,22.0752,-159.319,overcast clouds,Sheraton Kauai Coconut Beach Resort
34,mon,IN,76.96,26.75,95.1,broken clouds,NCK Cottage
36,santa rosa,PH,80.58,14.3122,121.1114,heavy intensity rain,Erlyn’s Sta Rosa City Home
41,kloulklubed,PW,77.5,7.0419,134.2556,overcast clouds,Storyboard Beach Resort
42,baisha,CN,77.7,26.5222,110.9311,light rain,Xiangcun Old Place Hotel
47,carballo,ES,81.91,43.213,-8.691,scattered clouds,Pazo do Souto
48,laguna,US,76.32,38.421,-121.4238,clear sky,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
50,kalmunai,LK,84.38,7.4167,81.8167,overcast clouds,VS Villa
57,isangel,VU,75.79,-19.55,169.2667,scattered clouds,Tanna Lodge
59,sola,VU,80.51,-13.8833,167.55,scattered clouds,Leumerus Bungalows
60,fare,PF,76.57,-16.7,-151.0167,scattered clouds,Maitai Lapita Village Huahine
61,cabo san lucas,MX,84.51,22.8909,-109.9124,clear sky,Hotel Tesoro Los Cabos
67,itarema,BR,81.1,-2.9248,-39.9167,clear sky,"Sea Lounge! Bar, Club & Restaurant"
68,darhan,MN,80.85,49.4867,105.9228,scattered clouds,Buudai Hotel
69,soyo,AO,75.81,-6.1349,12.3689,overcast clouds,Hospedaria ndozi'ame
73,hovd,MN,77.18,48.0056,91.6419,broken clouds,Hotel Khovd
85,nishihara,JP,83.86,26.1842,127.7558,broken clouds,Minshuku Agaihama
89,bethel,US,75.51,41.3712,-73.414,mist,Courtyard by Marriott Danbury
94,atuona,PF,77.56,-9.8,-139.0333,clear sky,Villa Enata
96,nueva gerona,CU,82.63,21.8833,-82.8,clear sky,Casa de la Alegria
101,salalah,OM,80.69,17.0151,54.0924,overcast clouds,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
102,hilo,US,80.28,19.7297,-155.09,light rain,Hilo Hawaiian Hotel
114,fukue,JP,81.55,32.6881,128.8419,light rain,Goto Guesthouse Utojuku & SA Car Rental
