City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,ushuaia,AR,-54.8,-68.3,26.26,80,20,5.75,few clouds,0.0,0
1,san jeronimo,PE,-11.9472,-75.2829,52.09,54,74,1.81,broken clouds,0.0,0
2,busselton,AU,-33.65,115.3333,58.62,73,84,3.11,broken clouds,0.0,0
3,progreso,MX,21.2833,-89.6667,81.1,72,14,9.17,few clouds,0.0,0
4,vaini,TO,-21.2,-175.2,75.36,94,20,9.22,few clouds,0.0,0
5,ust-uda,RU,54.1742,103.0304,52.92,97,100,5.66,moderate rain,1.76,0
6,hobart,AU,-42.8794,147.3294,44.46,86,100,14.97,light rain,0.33,0
7,havre-saint-pierre,CA,50.2334,-63.5986,61.16,77,75,5.75,broken clouds,0.0,0
8,bhanpuri,IN,21.1,80.9167,77.86,90,100,8.59,overcast clouds,0.0,0
9,khatanga,RU,71.9667,102.5,59.34,52,21,4.97,few clouds,0.0,0
10,port blair,IN,11.6667,92.75,80.98,82,100,14.05,overcast clouds,0.0,0
11,rostovka,RU,55.3842,71.8891,69.17,75,15,10.71,few clouds,0.0,0
12,pitimbu,BR,-7.4706,-34.8086,79.39,74,24,16.31,few clouds,0.0,0
13,dalby,AU,-27.1833,151.2667,48.38,73,0,4.03,clear sky,0.0,0
14,chake chake,TZ,-5.2459,39.7666,75.38,83,84,15.05,light rain,0.81,0
15,bengkulu,ID,-3.8004,102.2655,79.0,84,100,2.86,overcast clouds,0.0,0
16,port elizabeth,ZA,-33.918,25.5701,70.11,57,0,9.22,clear sky,0.0,0
17,hamilton,US,39.1834,-84.5333,78.89,69,20,5.75,few clouds,0.0,0
18,tabora,TZ,-5.0167,32.8,86.76,21,84,5.88,broken clouds,0.0,0
19,lavrentiya,RU,65.5833,-171.0,43.61,78,99,9.19,overcast clouds,0.0,0
20,zhanaozen,KZ,43.3,52.8,100.4,18,5,9.66,clear sky,0.0,0
21,ancud,CL,-41.8697,-73.8203,41.23,81,16,7.05,few clouds,0.0,0
22,sisimiut,GL,66.9395,-53.6735,42.85,81,72,6.73,broken clouds,0.0,0
23,byron bay,AU,-28.65,153.6167,50.94,81,7,6.38,clear sky,0.0,0
24,kiunga,PG,-6.1219,141.2906,71.44,97,99,4.79,overcast clouds,0.0,0
25,berlevag,NO,70.8578,29.0864,76.95,44,47,14.97,scattered clouds,0.0,0
26,bluff,NZ,-46.6,168.3333,35.8,68,34,8.99,scattered clouds,0.0,0
27,rio gallegos,AR,-51.6226,-69.2181,21.25,93,20,9.22,few clouds,0.0,0
28,nome,US,64.5011,-165.4064,55.47,55,75,11.5,broken clouds,0.0,0
29,albany,US,42.6001,-73.9662,73.42,63,0,3.85,clear sky,0.0,0
30,mahebourg,MU,-20.4081,57.7,71.26,88,75,10.36,broken clouds,0.0,0
31,cockburn town,TC,21.4612,-71.1419,81.79,78,19,19.91,few clouds,0.0,0
32,padang,ID,-0.9492,100.3543,82.45,88,94,3.91,overcast clouds,0.0,0
33,qaanaaq,GL,77.484,-69.3632,49.82,60,100,9.75,overcast clouds,0.0,0
34,iracoubo,GF,5.4802,-53.2011,82.27,74,79,7.78,broken clouds,0.0,0
35,hermanus,ZA,-34.4187,19.2345,64.8,65,100,8.86,overcast clouds,0.0,0
36,mataura,NZ,-46.1927,168.8643,35.47,99,36,3.58,scattered clouds,0.0,0
