City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Barrow,US,2022-07-12 16:25:12,71.2906,-156.7887,276.16,87,100,5.14
1,La Romana,DO,2022-07-12 16:25:12,18.4273,-68.9728,305.35,62,20,5.14
2,Vao,NC,2022-07-12 16:25:13,-22.6667,167.4833,294.75,74,25,5.59
3,Ushuaia,AR,2022-07-12 16:23:40,-54.8,-68.3,276.96,81,40,7.2
4,Busselton,AU,2022-07-12 16:25:13,-33.65,115.3333,286.65,80,24,2.28
5,Chicama,PE,2022-07-12 16:25:14,-7.8447,-79.1469,289.45,62,32,3.3
6,Hobart,AU,2022-07-12 16:25:15,-42.8794,147.3294,280.52,88,75,3.6
7,Zhezkazgan,KZ,2022-07-12 16:25:15,47.8043,67.7144,298.14,50,40,5.0
8,Krasnoselkup,RU,2022-07-12 16:25:15,65.7,82.4667,283.26,61,78,4.11
9,Soligalich,RU,2022-07-12 16:25:16,59.0778,42.2864,290.41,96,100,3.63
10,Mataura,NZ,2022-07-12 16:25:16,-46.1927,168.8643,279.53,98,100,1.9
11,Otavi,NA,2022-07-12 16:25:17,-19.65,17.3333,294.99,20,0,3.58
12,Monrovia,LR,2022-07-12 16:22:54,6.3005,-10.7969,299.04,79,84,5.78
13,Provideniya,RU,2022-07-12 16:25:17,64.3833,-173.3,282.64,84,45,1.56
14,Punta Arenas,CL,2022-07-12 16:25:18,-53.15,-70.9167,273.16,100,100,1.54
15,Kodinsk,RU,2022-07-12 16:25:18,58.6881,99.1844,285.84,60,45,0.74
16,Kosino,RU,2022-07-12 16:25:19,58.4127,51.2782,292.39,90,85,4.29
17,Chokurdakh,RU,2022-07-12 16:25:19,70.6333,147.9167,282.06,91,100,4.82
18,Kirakira,SB,2022-07-12 16:25:20,-10.4544,161.9205,299.9,82,60,3.58
19,Atuona,PF,2022-07-12 16:25:20,-9.8,-139.0333,298.33,76,20,7.95
20,Touros,BR,2022-07-12 16:25:21,-5.1989,-35.4608,301.46,66,43,7.27
21,New Norfolk,AU,2022-07-12 16:25:21,-42.7826,147.0587,280.33,82,85,0.45
22,Dikson,RU,2022-07-12 16:25:21,73.5069,80.5464,277.18,84,16,3.32
23,Gunjur,GM,2022-07-12 16:25:22,13.2019,-16.7339,305.19,70,75,4.63
24,Aykhal,RU,2022-07-12 16:25:22,66.0,111.5,281.41,85,90,4.27
25,Upernavik,GL,2022-07-12 16:25:23,72.7868,-56.1549,278.51,85,100,2.51
26,Smithers,CA,2022-07-12 16:25:23,54.7804,-127.1743,284.33,82,100,2.06
27,Vaini,TO,2022-07-12 16:25:24,-21.2,-175.2,296.24,88,40,3.09
28,At-Bashi,KG,2022-07-12 16:25:24,41.1702,75.8106,284.89,61,2,1.44
29,Avarua,CK,2022-07-12 16:25:25,-21.2078,-159.775,293.18,77,75,1.54
30,Nikolskoye,RU,2022-07-12 16:25:25,59.7035,30.7861,295.86,66,90,3.15
31,Thompson,CA,2022-07-12 16:25:25,55.7435,-97.8558,291.24,63,40,1.54
32,Kaitangata,NZ,2022-07-12 16:25:26,-46.2817,169.8464,280.49,96,100,6.71
33,Jamestown,US,2022-07-12 16:25:26,42.097,-79.2353,300.38,53,75,9.77
34,Luderitz,NA,2022-07-12 16:25:27,-26.6481,15.1594,289.51,62,0,9.15
35,Arraial Do Cabo,BR,2022-07-12 16:25:27,-22.9661,-42.0278,304.13,16,0,3.09
36,Ketchikan,US,2022-07-12 16:25:28,55.3422,-131.6461,284.41,93,100,2.57
37,Bambous Virieux,MU,2022-07-12 16:25:28,-20.3428,57.7575,295.29,64,75,7.2
38,East London,ZA,2022-07-12 16:25:28,-33.0153,27.9116,285.67,94,0,1.03
39,Ponta Do Sol,PT,2022-07-12 16:25:29,32.6667,-17.1,296.32,65,58,3.09
40,Althofen,AT,2022-07-12 16:25:29,46.8818,14.4676,297.68,68,64,2.03
41,Rikitea,PF,2022-07-12 16:25:30,-23.1203,-134.9692,297.09,68,72,7.05
42,Albany,US,2022-07-12 16:24:22,42.6001,-73.9662,303.51,55,41,4.65
43,Atascadero,US,2022-07-12 16:25:30,35.4894,-120.6707,296.38,61,9,0.89
44,Cabedelo,BR,2022-07-12 16:25:31,-6.9811,-34.8339,302.52,67,26,5.12
45,Victoria,HK,2022-07-12 16:20:35,22.2855,114.1577,303.89,80,4,3.58
46,Kruisfontein,ZA,2022-07-12 16:25:32,-34.0033,24.7314,284.75,77,0,2.45
47,Alofi,NU,2022-07-12 16:25:32,-19.0595,-169.9187,296.09,83,58,3.6
48,Yellowknife,CA,2022-07-12 16:25:33,62.456,-114.3525,294.44,73,40,6.17
49,Flinders,AU,2022-07-12 16:25:33,-34.5833,150.8552,282.25,83,97,1.79
50,Abnub,EG,2022-07-12 16:25:34,27.2696,31.1511,309.6,18,1,7.0
51,Salekhard,RU,2022-07-12 16:23:05,66.53,66.6019,286.6,72,100,2.73
52,Warrington,GB,2022-07-12 16:25:34,53.3925,-2.5802,297.14,56,0,1.54
53,Matara,LK,2022-07-12 16:25:35,5.9485,80.5353,299.2,85,50,5.12
54,Ukholovo,RU,2022-07-12 16:25:35,53.7929,40.4892,294.13,70,52,2.63
55,Lebu,CL,2022-07-12 16:25:36,-37.6167,-73.65,283.44,94,100,3.04
56,Rosarito,MX,2022-07-12 16:25:36,32.3333,-117.0333,292.86,73,43,3.12
57,Kahului,US,2022-07-12 16:20:51,20.8947,-156.47,297.51,73,20,1.79
58,Aksu,CN,2022-07-12 16:25:37,41.1231,80.2644,299.39,25,34,6.35
59,Boden,SE,2022-07-12 16:25:37,65.8252,21.6886,295.15,47,7,3.26
60,Wiefelstede,DE,2022-07-12 16:25:38,53.2574,8.1159,298.62,52,100,3.0
61,Talnakh,RU,2022-07-12 16:25:38,69.4865,88.3972,283.16,58,94,6.98
62,Bluff,NZ,2022-07-12 16:25:39,-46.6,168.3333,279.71,92,100,9.33
63,Okhotsk,RU,2022-07-12 16:25:39,59.3833,143.3,288.07,94,100,3.5
64,Beyneu,KZ,2022-07-12 16:25:40,45.3167,55.2,308.11,21,0,3.75
65,Fortuna,US,2022-07-12 16:25:40,40.5982,-124.1573,287.96,93,100,1.43
66,Nouadhibou,MR,2022-07-12 16:25:40,20.931,-17.0347,295.14,83,75,10.29
67,Sitka,US,2022-07-12 16:21:19,57.0531,-135.33,285.09,82,75,0.0
68,Namatanai,PG,2022-07-12 16:25:41,-3.6667,152.4333,299.47,81,17,3.11
69,Bredasdorp,ZA,2022-07-12 16:25:42,-34.5322,20.0403,285.56,72,3,1.11
70,Denpasar,ID,2022-07-12 16:21:07,-8.65,115.2167,298.96,88,40,6.17
71,Ishigaki,JP,2022-07-12 16:25:42,24.3448,124.1572,302.22,89,20,3.09
72,Port Alfred,ZA,2022-07-12 16:25:42,-33.5906,26.891,287.14,76,0,4.57
73,Leh,IN,2022-07-12 16:25:43,34.1667,77.5833,294.93,29,14,3.18
74,Beringovskiy,RU,2022-07-12 16:25:44,63.05,179.3167,283.04,82,45,3.98
75,High Level,CA,2022-07-12 16:25:44,58.5169,-117.136,293.21,52,20,3.09
76,Riyadh,SA,2022-07-12 16:21:31,24.6877,46.7219,311.23,9,100,7.05
77,Djougou,BJ,2022-07-12 16:25:45,9.7085,1.666,303.71,52,61,1.83
78,Mpika,ZM,2022-07-12 16:25:45,-11.8343,31.4529,289.6,50,79,3.78
79,Shache,CN,2022-07-12 16:25:46,38.4167,77.2406,301.88,34,95,3.27
80,Nigde,TR,2022-07-12 16:25:46,37.8333,34.75,296.38,32,0,5.35
81,Ongandjera,NA,2022-07-12 16:25:46,-17.8833,15.0667,297.45,22,0,2.98
82,Asau,RO,2022-07-12 16:25:47,46.4333,26.4,295.66,47,46,5.32
83,Tiksi,RU,2022-07-12 16:25:47,71.6872,128.8694,274.7,98,100,5.38
84,Bengkulu,ID,2022-07-12 16:25:48,-3.8004,102.2655,297.76,91,98,2.05
85,Port Macquarie,AU,2022-07-12 16:25:48,-31.4333,152.9167,283.76,85,100,3.25
86,Altus,US,2022-07-12 16:25:49,34.6381,-99.334,306.88,48,0,5.14
87,Sao Felix Do Xingu,BR,2022-07-12 16:25:49,-6.6447,-51.995,307.76,29,15,1.73
88,Ilulissat,GL,2022-07-12 16:25:49,69.2167,-51.1,281.16,81,75,2.57
89,Kapit,MY,2022-07-12 16:25:50,2.0167,112.9333,296.9,99,100,0.39
90,Takoradi,GH,2022-07-12 16:25:50,4.8845,-1.7554,298.24,76,82,4.4
91,Saskylakh,RU,2022-07-12 16:25:51,71.9167,114.0833,277.73,84,100,5.42
92,Caravelas,BR,2022-07-12 16:25:51,-17.7125,-39.2481,299.71,54,34,4.34
93,Hilo,US,2022-07-12 16:25:52,19.7297,-155.09,294.6,81,75,0.45
94,Pangnirtung,CA,2022-07-12 16:25:52,66.1451,-65.7125,282.15,93,100,2.57
95,Weymouth,US,2022-07-12 16:21:54,42.2209,-70.9398,304.94,55,20,10.29
96,Orotukan,RU,2022-07-12 16:25:53,62.2667,151.7,293.84,70,9,3.53
97,Taoudenni,ML,2022-07-12 16:25:53,22.6783,-3.9836,319.49,7,46,4.29
98,Florence,IT,2022-07-12 16:25:54,43.7667,11.25,306.13,37,40,4.12
99,Georgetown,MY,2022-07-12 16:25:50,5.4112,100.3354,299.11,93,40,3.09
100,Buala,SB,2022-07-12 16:25:54,-8.145,159.5921,299.78,84,82,3.7
101,Cabo San Lucas,MX,2022-07-12 16:25:12,22.8909,-109.9124,306.82,59,40,3.09
102,Svetlogorsk,BY,2022-07-12 16:25:55,52.6333,29.7333,286.04,91,100,8.94
103,Samarai,PG,2022-07-12 16:25:56,-10.6167,150.6667,299.61,82,24,3.96
104,Santa Maria Del Oro,MX,2022-07-12 16:25:56,25.9333,-105.3667,300.91,33,54,3.7
105,Tasiilaq,GL,2022-07-12 16:25:57,65.6145,-37.6368,283.24,88,99,2.18
106,Chapais,CA,2022-07-12 16:25:57,49.7834,-74.8492,289.03,80,100,3.8
107,Mayor Pablo Lagerenza,PY,2022-07-12 16:25:57,-19.9309,-60.7718,291.75,46,97,3.75
108,Yakeshi,CN,2022-07-12 16:25:58,49.2833,120.7333,289.08,97,100,1.96
109,Kavaratti,IN,2022-07-12 16:25:58,10.5669,72.642,300.68,82,100,7.99
110,Ribeira Grande,PT,2022-07-12 16:25:59,38.5167,-28.7,297.37,69,40,5.14
